id,q,a,b,c,correct
1,Câu 1: Đồng chí hãy cho biết Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị về nội dung gì?,"Về đột phá phát triển khoa học, công nghệ, xây dựng nền kinh tế số.","Về đột phá phát triển khoa học, công nghệ, xây dựng nền kinh tế thị trường theo định hướng XHCN.","Về đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia.",C
2,"Câu 2: Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị xác định mục tiêu đến năm 2030 tỷ lệ nguồn nhân lực nghiên cứu khoa học, phát triển công nghệ, đổi mới sáng tạo là: ",Đạt 12 người trên 1 vạn dân.,Đạt 10 người trên 1 vạn dân.,Đạt 05 người trên 1 vạn dân.,A
3,Câu 3: Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị xác định mục tiêu đến năm 2030 quy mô kinh tế số như thế nào?,Quy mô kinh tế số đạt tối thiểu ngang bằng các nước khu vực Châu Á.,Quy mô kinh tế số đạt tối thiểu 30% GDP.,Quy mô kinh tế số ngang bằng các nước có thu nhập trung bình cao.,B
4,Câu 4: Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị xác định mục tiêu đến năm 2030 phát triển doanh nghiệp số là:,Tối thiểu có 05 doanh nghiệp công nghệ số ngang tầm các nước tiên tiến.,Tối thiểu có 05 doanh nghiệp công nghệ số ngang tầm các nước thuộc Nhóm G7.,Tối thiểu có 05 doanh nghiệp công nghệ số thuộc top 20 khu vực Châu Á.,A
5,Câu 5: Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị xác định mục tiêu đến năm 2030 tỷ lệ sử dụng dịch vụ công trực tuyến của người dân và doanh nghiệp đạt:,100%.,Trên 80%.,Tuyệt đại đa số người dân và doanh nghiệp đều sử dụng dịch vụ công trực tuyến.,B
6,"Câu 6: Đồng chí hãy cho biết nhiệm vụ, giải pháp cơ bản, quan trọng nhất để đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia được Bộ Chính trị xác định trong Nghị quyết số 57-NQ/TW ngày 22/12/2024?","Nâng cao nhận thức, đột phá về đổi mới tư duy, xác định quyết tâm chính trị mạnh mẽ, quyết liệt lãnh đạo, chỉ đạo, tạo xung lực mới, khí thế mới trong toàn xã hội về về phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia.","Tăng cường đầu tư, hoàn thiện hạ tầng cho khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia.","Phát triển, trọng dụng nhân lực chất lượng cao, nhân tài đáp ứng yêu cầu khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia.",A
7,Câu 7: Đồng chí hãy cho biết Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025 của Quân ủy Trung ương về nội dung gì?,"Về đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số trong Quân đội.",Về bảo đảm công tác Hậu cần đáp ứng yêu cầu xây dựng Quân đội trong tình hình mới.,"Về đột phá về công tác kỹ thuật đáp ứng yêu cầu xây dựng Quân đội chính quy, hiện đại.",A
8,"Câu 8: Đồng chí hãy cho biết đâu là quan điểm chỉ đạo của Quân ủy Trung ương về đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội?","Phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội là một trong các đột phá cần thiết, là mũi nhọn tiên phong góp phần xây dựng Quân đội cách mạng, chính quy, tinh nhuệ, hiện đại.","Phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội là một trong các đột phá quan trọng hàng đầu, là mũi nhọn tiên phong góp phần xây dựng Quân đội cách mạng, chính quy, tinh nhuệ, hiện đại.","Phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội là một trong các đột phá vô cùng quan trọng, là mũi nhọn tiên phong góp phần xây dựng Quân đội hiện đại.",B
9,"Câu 9: Đồng chí hãy cho biết mục tiêu đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội đến năm 2030 được Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025?","Có từ 10 đến 20 nhóm nghiên cứu chuyên sâu trên các lĩnh vực khoa học công nghệ trọng điểm. Số lượng đơn đăng ký sáng chế, văn bằng bảo hộ sáng chế tăng trung bình 10%/năm. Tỷ lệ nhiệm vụ khoa học và công nghệ có kết quả nghiên cứu ứng dụng vào thực tiễn đạt trên 90%.","Có từ 10 đến 20 nhóm nghiên cứu chuyên sâu trên các lĩnh vực khoa học công nghệ trọng điểm. Số lượng đơn đăng ký sáng chế, văn bằng bảo hộ sáng chế tăng trung bình 15%/năm. Tỷ lệ nhiệm vụ khoa học và công nghệ có kết quả nghiên cứu ứng dụng vào thực tiễn đạt trên 90%.","Có từ 10 đến 20 nhóm nghiên cứu chuyên sâu trên các lĩnh vực khoa học công nghệ trọng điểm. Số lượng đơn đăng ký sáng chế, văn bằng bảo hộ sáng chế tăng trung bình 10%/năm. Tỷ lệ nhiệm vụ khoa học và công nghệ có kết quả nghiên cứu ứng dụng vào thực tiễn đạt trên 95%.",A
10,"Câu 10: Đồng chí hãy cho biết nhiệm vụ, giải pháp thứ Nhất để đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số mà Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29 tháng 01 năm 2025?","Tăng cường đầu tư, hoàn thiện hạ tầng cho khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số","Khẩn trương hoàn thiện hệ thống văn bản tạo cơ sở pháp lý, xoá bỏ rào cản đang cản trở sự phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số","Nâng cao nhận thức, quyết tâm lãnh đạo, chỉ đạo tạo động lực mạnh mẽ trong toàn quân về phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số",C
